,Twitter Handle,Compound Score,Positive Score,Neutral Score,Negative Score,Tweets Ago,Tweet Datetime,Tweet Text
27,@BBC,-0.2263,0.059,0.842,0.099,28,2018-10-01 19:00:01+00:00,"Wildlife biologist @LizBonnin visits scientists working at the cutting edge of plastics research. She works with leading marine biologists to discover the true dangers of plastic in our oceans and what it means for the future.

Drowning in Plastic | Tonight | 8.30pm | @BBCOne https://t.co/jZqDCtyENt"
28,@BBC,0.0,0.0,1.0,0.0,29,2018-10-01 17:16:04+00:00,"A 19-year-old university student has described his photograph of a white fallow buck sneezing as a ""one-in-a-million shot"". 🦌📸 https://t.co/b8UnkAzkoz https://t.co/YgAwPVe7bj"
29,@BBC,0.7506,0.262,0.738,0.0,30,2018-10-01 16:05:44+00:00,"RT @BBCFood: 🥕 It's World Vegetarian Day and we're celebrating all things veggie. Whether you're looking for a quick lunch, a healthy trayb…"
30,@BBC,0.0,0.0,1.0,0.0,31,2018-10-01 15:48:02+00:00,"RT @CBeebiesHQ: Cuddle up cheek to cheek!

Sharon D. Clarke is back for tonight's #BedtimeStory 😴📚

The biographical tale of Ella Fitzgeral…"
31,@BBC,0.0,0.0,1.0,0.0,32,2018-10-01 15:00:02+00:00,"These scientists have found plastic in every area of the Arctic; there are about 225 trillion particles in the whole of the Barents Sea.

Drowning in Plastic | tonight | 8.30pm | @BBCOne 

https://t.co/34t3gcWgHb https://t.co/FO2CkLrmJA"
32,@BBC,0.0,0.0,1.0,0.0,33,2018-10-01 14:01:07+00:00,"An Astrophysicist? A World Traveller? CEO of the British Library? 🔭📚🤷

Illustrator Sir Quentin Blake has reimagined what Matilda would be doing today, 30 years after the book about her was published. 👉 https://t.co/AR0oFlPMa5 https://t.co/rNiz7hKbET"
33,@BBC,0.0,0.0,1.0,0.0,34,2018-10-01 13:04:26+00:00,"RT @bbcgetinspired: 'I'm a Muslim woman, I'm visually-impaired and I'm a boxer' 🥊🥊 #GetInspired 

https://t.co/zJorjZokVM"
34,@BBC,0.7456,0.311,0.689,0.0,35,2018-10-01 13:03:06+00:00,"🎶🌟@LadyGaga and Jodie Whittaker playing the #DoctorWho theme tune on the theremin is AMAZING. #TheGNShow

https://t.co/PEwaE9tzNH"
35,@BBC,0.128,0.193,0.642,0.166,36,2018-10-01 12:33:03+00:00,"😂😃😐 Can you spot a fake laugh? 

Take this quiz to find out. 👉 https://t.co/LAFjV5ggf7 https://t.co/sFjlLRwzQK"
36,@BBC,-0.5574,0.0,0.795,0.205,37,2018-10-01 12:08:21+00:00,"Geoffrey Hayes, who hosted long-running children's TV show, Rainbow, has died aged 76.
👉 https://t.co/10XDMpYCiz https://t.co/vPs5odJKqy"
37,@BBC,0.7003,0.345,0.655,0.0,38,2018-10-01 11:03:02+00:00,"This Amazing Human uses coffee to give homeless people a second chance. ☕️💛#InternationalCoffeeDay

https://t.co/wOc1ce2B3J"
38,@BBC,0.3818,0.274,0.591,0.134,39,2018-10-01 10:03:06+00:00,"Turns out it's *quite* difficult to keep a straight face while testing laughing gas...

https://t.co/nFlgKY7NuY"
39,@BBC,-0.7351,0.0,0.763,0.237,40,2018-10-01 09:46:54+00:00,RT @BBCRadio4: We conducted the world's largest survey on loneliness and discovered that 16-24 year olds are the loneliest age group. Read…
40,@BBC,0.0,0.0,1.0,0.0,41,2018-10-01 09:04:02+00:00,"We cannot WAIT for the new Doctor Who series! @bbcdoctorwho #TheGNShow

https://t.co/BkxpymO5Be"
41,@BBC,0.7845,0.266,0.734,0.0,42,2018-10-01 08:02:02+00:00,"Start your Monday the right way. Watch Tom Hardy explain to a child why we should love all things equally. 💔😭

https://t.co/646n5wwjvL"
42,@BBC,-0.7845,0.0,0.566,0.434,43,2018-10-01 07:32:01+00:00,Persistent chemical pollution threatens the future of killer whales. 💔 https://t.co/wJJIQj8WLK https://t.co/saSP4leLjt
43,@BBC,-0.872,0.0,0.602,0.398,44,2018-10-01 07:03:05+00:00,"Last year @higeorgeshelley's sister died in an accident. 

He opens up about grief and how to cope.

https://t.co/4SajjiJI6e"
44,@BBC,0.4753,0.157,0.843,0.0,45,2018-09-30 20:21:03+00:00,"RT @BBCOne: “I see women out with their babies walking around like it’s nothing… I just want to yell out at them, “You’re amazing!” @Jenna_…"
45,@BBC,0.6239,0.313,0.687,0.0,46,2018-09-30 19:39:53+00:00,RT @bbcstrictly: Wow. #Strictly Movie Week looks wand-erful! 🧙‍♂️✨ https://t.co/3Iko29h06s
46,@BBC,0.0,0.0,1.0,0.0,47,2018-09-30 19:03:02+00:00,"A mother’s life disintegrates while the world looks on. 

#TheCry | 9pm | @BBCOne | https://t.co/hDRdVsMamq https://t.co/2SrLnoKGLi"
47,@BBC,-0.6114,0.0,0.892,0.108,48,2018-09-30 17:16:03+00:00,"Tonight it's the first @BBCStrictly results show! Find out which couples have made it through and which two will be in the dreaded dance-off... ✨💃🕺

#Strictly Come Dancing: The Results | 7:15pm | @BBCOne | https://t.co/mmOzCmbX4a https://t.co/F8CY1rpisr"
48,@BBC,0.5106,0.167,0.769,0.063,49,2018-09-30 16:22:42+00:00,"RT @BBCOne: #TheCry ""is the perfect replacement for #Bodyguard, a twisting, turning whodunit that leaves you questioning everybody."" The Te…"
49,@BBC,0.4574,0.125,0.875,0.0,50,2018-09-30 16:22:25+00:00,"RT @BBCOne: To mark 30 years in music, we’re making a @takethat documentary special and WE NEED YOU! 

Head to https://t.co/WiKSYB8coP to s…"
50,@BBC,0.0,0.113,0.773,0.113,51,2018-09-30 16:01:09+00:00,"🕺✨ @Joe_Sugg says he worried that he was the 'joke act' in this year's #Strictly. 

https://t.co/FmKBnEJeoX https://t.co/O1GfHHBJud"
51,@BBC,0.0,0.0,1.0,0.0,52,2018-09-30 15:03:03+00:00,"This is the incredible story of how London dug the Victoria Line! 🚇

https://t.co/F8MsetBclS"
52,@BBC,-0.296,0.0,0.934,0.066,53,2018-09-30 14:02:04+00:00,"In Japan, 'aki no koe' refers to autumn's voice, which incorporates all the sounds of the season: the wind rustling dry leaves, rain hitting the ground or chirruping crickets. 🍂🍁 https://t.co/pbJCoH7bE0 https://t.co/xSaeWXJYeg"
53,@BBC,0.0,0.0,1.0,0.0,54,2018-09-30 13:06:04+00:00,"""Dyslexia tries to kick my butt daily - but I won't let it beat me"". 

https://t.co/EmtRJC2V5G"
54,@BBC,0.0,0.0,1.0,0.0,55,2018-09-30 12:44:04+00:00,Kanye West is changing his name... to Ye. https://t.co/TMRrrzJuKX https://t.co/0ZkgnEbFkA
55,@BBC,0.0,0.0,1.0,0.0,56,2018-09-30 12:31:04+00:00,The lush green mosses of East Antarctica are finally succumbing to climate change. 💔 https://t.co/z7j8jcx6TO https://t.co/r7C9gypVhC
56,@BBC,0.1531,0.127,0.873,0.0,57,2018-09-30 11:02:01+00:00,"Going on a night out can be challenging when you're a wheelchair user. 

https://t.co/YvvQ1SnosW"
57,@BBC,-0.8622,0.063,0.675,0.263,58,2018-09-30 10:00:00+00:00,"This is disgusting. 😔

The Citarum River in Indonesia is one of the dirtiest rivers in the world. 

Plastic pollution has got so bad that the army have been called in to help. https://t.co/tjM6WVLWzI"
58,@BBC,0.0,0.0,1.0,0.0,59,2018-09-30 09:04:02+00:00,"🐻 Say hello to Kyra the sun bear... 

https://t.co/UvDxsG3QO1"
59,@BBC,-0.5994,0.0,0.698,0.302,60,2018-09-30 08:30:16+00:00,RT @BBCWorld: Indonesia quake death toll 'at least 832' https://t.co/1VCcXxRrR4
